s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X1891	0	1	0	1	1	24	0.567028527385217	0.0936
X1892	1	0	0	0	0	1	0.617142873264141	0.0653
X1911	0	0	1	0	0	3	0.691754047730434	0.0344
X1912	0	1	0	0	1	12	0.639674639719094	0.0456
X1915	0	1	0	0	1	12	0.867653102544165	0.0026
X1922	1	0	0	0	0	1	0.582183041040778	0.0903
X1973	0	0	1	0	0	3	0.911322376865767	9e-04
X1977	0	1	0	0	0	2	0.451835359356712	0.2495
X2009	0	0	0	1	1	15	0.636209010280352	0.0448
X2024	1	0	1	0	0	7	0.670304114516964	0.0362
X2037	0	1	0	0	0	2	0.885354968997165	0.002
X2038	0	0	1	1	1	25	0.57653345632715	0.0882
X2048	1	0	1	0	0	7	0.551030524148368	0.1119
X2064	0	1	1	0	1	23	0.398273234733441	0.3289
X2089	1	0	0	0	0	1	0.613571991077896	0.0621
X2097	0	1	0	0	0	2	0.483800674468087	0.1687
X2140	0	1	0	0	1	12	0.678034158947548	0.0343
X2161	1	0	0	0	0	1	0.568859838175619	0.1057
X2170	0	0	0	0	1	5	0.649974251922729	0.0023
X2171	1	0	0	0	0	1	0.531969681106204	0.1619
X2189	0	0	0	0	1	5	0.763290054733458	0.0134
X2191	1	0	0	0	0	1	0.573915454386305	0.1029
X2198	0	1	0	0	1	12	0.516811394121702	0.0675
X2209	0	0	1	0	0	3	0.96955982186828	9e-04
X2233	0	1	1	0	1	23	0.386520804981666	0.5551
X2244	1	0	0	0	0	1	0.529899896324158	0.128
X2253	0	0	1	0	0	3	0.76346252804481	0.0062
X2307	1	0	0	0	0	1	0.700323447221526	0.0156
X2330	0	1	0	1	1	24	0.559016994374947	0.0808
X2342	0	1	1	0	0	10	0.796328409714568	0.0034
X2361	0	0	0	1	0	4	0.452243421844907	0.2967
X2365	0	0	1	0	0	3	0.705125260590485	0.0195
X2472	0	0	0	0	1	5	0.755423271477562	0.0039
X2483	0	1	1	0	0	10	0.686440609311554	0.0263
X2521	0	0	0	1	1	15	0.569494797451499	0.0657
X2560	0	0	1	0	0	3	0.97605275487975	9e-04
X2685	0	0	0	1	1	15	0.545236150224278	0.0445
X2731	0	0	1	0	0	3	0.670324040689745	0.0338
X2871	0	0	1	0	0	3	0.998981151034493	9e-04
X2887	0	1	0	1	0	11	0.506944777064531	0.0431
X2910	0	0	1	0	0	3	0.99764539348322	9e-04
X2956	0	0	1	0	0	3	0.990819843579053	9e-04
X2962	0	0	1	0	0	3	0.998224745626519	9e-04
X2977	0	0	1	0	0	3	0.982835940746087	4e-04
X3160	0	0	1	0	0	3	0.998781527511399	9e-04
X3198	0	0	1	0	0	3	0.654077137200537	0.0359
X3221	0	1	0	0	1	12	0.757378954920146	0.0032
X3223	0	0	1	0	0	3	0.407123968856442	0.3974
X3225	0	0	1	0	0	3	0.510732930436977	0.1528
X3236	0	0	1	0	0	3	0.922807067788153	9e-04
X3566	0	0	1	0	0	3	0.988623065485962	9e-04
X3578	0	0	1	0	0	3	0.945313186873322	9e-04
X3582	0	0	1	0	0	3	0.994837342898804	9e-04
X3584	0	0	1	0	0	3	0.99355247952133	9e-04
X3655	0	0	1	0	0	3	0.956689206214921	9e-04
X3736	0	0	1	0	0	3	0.897165112834783	0.0017
X3861	0	0	0	0	1	5	0.857755261722432	7e-04
X4022	0	0	1	0	0	3	0.996889572558454	9e-04
X4406	0	0	1	0	0	3	0.968027105138421	9e-04
X4481	0	0	1	0	0	3	0.983738753675929	9e-04
X4680	0	0	1	0	0	3	0.981022943175945	9e-04
X5077	0	0	1	0	0	3	0.998156000643799	9e-04
